video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=lck0EWRJnnU&pp=ygUSdXcgYnVzaW5lc3Mgc2Nob29s,/@wisconsinschoolofbusiness,Wisconsin School of Business at UW–Madison,Wisconsin School of Business: See where a top-ranked business education can take you.,237,7 years,"Ted Kellner Former Chairman & CEO Fiduciary Management, Inc. (Class of 1969)",2026-01-22 07:27:34.489380
/shorts/t7QZbnZuzM8,/@OneVoicetube,One Voice,University Of Washington - Foster School Of Biz   #humanity #inspiration #lifestories,59,4 months,University Of Washington - Foster School Of Biz #humanity #inspiration #lifestories #viralshorts #uw #college #graduation ...,2026-01-22 07:27:34.490723
/watch?v=J6FauvmnKFE&pp=ygUSdXcgYnVzaW5lc3Mgc2Nob29s,/@wisconsinschoolofbusiness,Wisconsin School of Business at UW–Madison,Specialized MBA from UW-Madison: Set Yourself Apart,1.9K,7 years,https://wsb.wisc.edu/programs-degrees/mba/full-time The Wisconsin MBA Program gives you a recruiting and hiring advantage ...,2026-01-22 07:27:34.491828
/watch?v=qETn_yRf8Mc&pp=ygUSdXcgYnVzaW5lc3Mgc2Nob29s,/@UWFosterSchool,UW Foster School of Business,Maximizing Your Career ROI with the Technology Management MBA Program,165,6 months,Explore how Foster's Technology Management MBA (TMMBA) delivers practical value—immediately and for years to come.,2026-01-22 07:27:34.492951
/watch?v=NBzsWx0y7G0&pp=ygUSdXcgYnVzaW5lc3Mgc2Nob29s,/@UWFosterSchool,UW Foster School of Business,Cara Castro: Why Study Entrepreneurship at UW,177,3 years,"The 12-month Master of Science in Entrepreneurship degree program was built for entrepreneurs, by entrepreneurs. As rigorous ...",2026-01-22 07:27:34.496249
/shorts/JlQnjmY4Mu8,/@UWFosterSchool,UW Foster School of Business,"From accounting to leadership, from strategy to impact",32,2 months,Mahi Abdelsalam 's Hybrid MBA journey has shaped her into a well-rounded professional ready to make a difference. Through ...,2026-01-22 07:27:41.950501
/watch?v=kFi9qqDXoW4&pp=ygUSdXcgYnVzaW5lc3Mgc2Nob29s,/@wisconsinschoolofbusiness,Wisconsin School of Business at UW–Madison,Business Analytics: Student Perspective – Haider,1.6K,6 years,"Haider Barq (BS '19, MS '20) returns to UW–Madison after studying math, economics, and computer science as an undergrad.",2026-01-22 07:27:41.952295
/watch?v=bZXcWKascNU&pp=ygUSdXcgYnVzaW5lc3Mgc2Nob29s,/@wisconsinschoolofbusiness,Wisconsin School of Business at UW–Madison,Jirs Meuris | Investigating Change Management Solutions | Wisconsin School of Business,160,1 year,"Meet Jirs Meuris, assistant professor of management and human resources, and John and Anne Oros Term Professor, at the ...",2026-01-22 07:27:41.953545
/watch?v=LB6eMB4g2B0&pp=ygUSdXcgYnVzaW5lc3Mgc2Nob29s0gcJCYcKAYcqIYzv,/@universityofwashington,UW (University of Washington),UW Foster School of Business: From Mentee to Mentor,1.7K,8 years,"For Yakima-born Yesenia Velasquez, the Young Executives of Color program at the Foster School of Business has opened the ...",2026-01-22 07:27:41.955393
/shorts/ZZggswSB3AY,/@UWFosterSchool,UW Foster School of Business,Thinking about business school?,82,5 months,See why our students picked Foster.,2026-01-22 07:27:41.958499
